#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCAT2	SDS	9606.ENSP00000322991	9606.ENSP00000257549	0.111	0	0	0	0.105	0	0.800	0.388	0.889
BCAT2	PPAT	9606.ENSP00000322991	9606.ENSP00000264220	0	0	0	0	0.084	0	0	0.385	0.413
BCAT2	SDHA	9606.ENSP00000322991	9606.ENSP00000264932	0	0	0	0	0.181	0.150	0	0.234	0.420
BCAT2	HIBADH	9606.ENSP00000322991	9606.ENSP00000265395	0.048	0	0	0	0.303	0	0	0.609	0.717
BCAT2	MCCC1	9606.ENSP00000322991	9606.ENSP00000265594	0.050	0	0	0	0.068	0	0	0.447	0.468
BCAT2	GLUD1	9606.ENSP00000322991	9606.ENSP00000277865	0.161	0	0	0	0.132	0	0	0.582	0.669
BCAT2	IDH3A	9606.ENSP00000322991	9606.ENSP00000299518	0.135	0	0	0	0.087	0.078	0	0.291	0.415
BCAT2	LDHAL6B	9606.ENSP00000322991	9606.ENSP00000302393	0.071	0	0	0	0.062	0	0.600	0.140	0.660
BCAT2	GLUL	9606.ENSP00000322991	9606.ENSP00000307900	0	0	0	0	0.067	0	0	0.424	0.440
BCAT2	TYMS	9606.ENSP00000322991	9606.ENSP00000315644	0.181	0	0	0	0	0	0	0.373	0.464
BCAT2	SHMT1	9606.ENSP00000322991	9606.ENSP00000318868	0.162	0	0	0	0.063	0	0	0.379	0.470
BCAT2	ME2	9606.ENSP00000322991	9606.ENSP00000321070	0	0	0	0	0.104	0.058	0	0.452	0.497
BCAT2	GCH1	9606.ENSP00000322991	9606.ENSP00000419045	0.219	0	0	0	0.057	0	0	0.260	0.407
BCAT2	TPK1	9606.ENSP00000322991	9606.ENSP00000353165	0.045	0	0	0	0	0	0	0.425	0.427
BCAT2	PYCR1	9606.ENSP00000322991	9606.ENSP00000384949	0.074	0	0	0	0.095	0	0	0.380	0.435
BCAT2	TARS2	9606.ENSP00000322991	9606.ENSP00000358060	0.074	0	0	0	0.071	0	0	0.401	0.439
BCAT2	HSD17B8	9606.ENSP00000322991	9606.ENSP00000363794	0.047	0	0	0	0.271	0	0	0.265	0.444
BCAT2	GOT1	9606.ENSP00000322991	9606.ENSP00000359539	0	0	0	0	0.065	0	0	0.438	0.452
BCAT2	SDHC	9606.ENSP00000322991	9606.ENSP00000356953	0	0	0	0	0.370	0	0	0.168	0.453
BCAT2	FPGS	9606.ENSP00000322991	9606.ENSP00000362344	0.210	0	0	0	0.083	0.056	0	0.297	0.455
BCAT2	GLDC	9606.ENSP00000322991	9606.ENSP00000370737	0.048	0	0	0	0.064	0	0	0.449	0.466
BCAT2	H6PD	9606.ENSP00000322991	9606.ENSP00000473348	0	0.002	0	0	0.238	0	0	0.328	0.466
BCAT2	PSAT1	9606.ENSP00000322991	9606.ENSP00000365773	0	0	0	0	0.052	0	0	0.466	0.473
BCAT2	CHKB	9606.ENSP00000322991	9606.ENSP00000384400	0.074	0	0	0	0.085	0	0	0.430	0.474
BCAT2	PC	9606.ENSP00000322991	9606.ENSP00000377532	0	0	0	0	0.050	0	0	0.476	0.481
BCAT2	HADH	9606.ENSP00000322991	9606.ENSP00000474560	0.059	0	0	0	0.087	0	0	0.446	0.482
BCAT2	MCCC2	9606.ENSP00000322991	9606.ENSP00000343657	0	0	0	0	0.055	0	0	0.485	0.493
BCAT2	IDH3B	9606.ENSP00000322991	9606.ENSP00000370223	0.135	0	0	0	0.166	0.078	0	0.329	0.494
BCAT2	PCCB	9606.ENSP00000322991	9606.ENSP00000419027	0	0	0	0	0.062	0	0	0.484	0.496
BCAT2	SHMT2	9606.ENSP00000322991	9606.ENSP00000333667	0.162	0	0	0	0.063	0	0	0.427	0.510
BCAT2	SDHB	9606.ENSP00000322991	9606.ENSP00000364649	0	0	0	0	0.428	0	0	0.180	0.511
BCAT2	GPT2	9606.ENSP00000322991	9606.ENSP00000345282	0.072	0	0	0	0.062	0	0	0.500	0.527
BCAT2	THRB	9606.ENSP00000322991	9606.ENSP00000379904	0	0	0	0	0	0	0	0.537	0.537
BCAT2	GSTO1	9606.ENSP00000322991	9606.ENSP00000358727	0	0	0	0	0.047	0.533	0	0.048	0.539
BCAT2	HMGCL	9606.ENSP00000322991	9606.ENSP00000363614	0.167	0	0	0	0.123	0.070	0	0.442	0.570
BCAT2	GPT	9606.ENSP00000322991	9606.ENSP00000378408	0.072	0	0	0	0.062	0	0	0.552	0.576
BCAT2	IVD	9606.ENSP00000322991	9606.ENSP00000418397	0	0	0	0	0.065	0	0	0.572	0.582
BCAT2	UAP1	9606.ENSP00000322991	9606.ENSP00000356903	0	0	0	0	0.063	0.609	0	0	0.617
BCAT2	LDHC	9606.ENSP00000322991	9606.ENSP00000437783	0.071	0	0	0	0.059	0	0.600	0.140	0.659
BCAT2	LDHB	9606.ENSP00000322991	9606.ENSP00000379386	0.071	0	0	0	0.062	0	0.600	0.156	0.666
BCAT2	LDHA	9606.ENSP00000322991	9606.ENSP00000445175	0.071	0	0	0	0.062	0	0.600	0.238	0.699
BCAT2	SDSL	9606.ENSP00000322991	9606.ENSP00000385790	0.111	0	0	0	0.144	0	0.800	0.373	0.891
BCAT2	GCLM	9606.ENSP00000322991	9606.ENSP00000359258	0	0	0	0	0.056	0.207	0.900	0.208	0.932
BCAT2	CTH	9606.ENSP00000322991	9606.ENSP00000359976	0.071	0	0	0	0.065	0.119	0.900	0.274	0.934
BCHE	CYP24A1	9606.ENSP00000264381	9606.ENSP00000216862	0	0	0	0	0	0.060	0	0.457	0.467
BCHE	PON1	9606.ENSP00000264381	9606.ENSP00000222381	0	0	0	0	0.063	0	0	0.720	0.726
BCHE	MPO	9606.ENSP00000264381	9606.ENSP00000225275	0	0	0	0	0	0.059	0	0.389	0.400
BCHE	LTF	9606.ENSP00000264381	9606.ENSP00000231751	0	0.002	0	0	0.048	0	0	0.397	0.401
BCHE	TTR	9606.ENSP00000264381	9606.ENSP00000237014	0	0	0	0	0.086	0	0	0.517	0.539
BCHE	CAT	9606.ENSP00000264381	9606.ENSP00000241052	0	0	0	0	0.062	0	0	0.558	0.568
BCHE	CRP	9606.ENSP00000264381	9606.ENSP00000255030	0	0	0	0	0.051	0.059	0	0.595	0.606
BCHE	PPIG	9606.ENSP00000264381	9606.ENSP00000260970	0	0	0	0	0.052	0	0	0.394	0.401
BCHE	SPTLC1	9606.ENSP00000264381	9606.ENSP00000262554	0	0	0	0	0	0	0	0.431	0.431
BCHE	TYR	9606.ENSP00000264381	9606.ENSP00000263321	0	0	0	0	0.165	0	0	0.468	0.536
BCHE	SLC5A7	9606.ENSP00000264381	9606.ENSP00000264047	0	0	0	0	0.087	0	0	0.521	0.544
BCHE	PREP	9606.ENSP00000264381	9606.ENSP00000358106	0	0	0	0	0	0	0	0.400	0.400
BCHE	GPX7	9606.ENSP00000264381	9606.ENSP00000354677	0	0	0	0	0	0	0	0.409	0.408
BCHE	CHRFAM7A	9606.ENSP00000264381	9606.ENSP00000299847	0	0	0	0	0.062	0	0	0.397	0.410
BCHE	GPX4	9606.ENSP00000264381	9606.ENSP00000346103	0	0	0	0	0	0	0	0.416	0.416
BCHE	TNF	9606.ENSP00000264381	9606.ENSP00000398698	0	0	0	0	0	0	0	0.427	0.427
BCHE	CP	9606.ENSP00000264381	9606.ENSP00000264613	0	0	0	0	0.084	0	0	0.402	0.429
BCHE	MAP2	9606.ENSP00000264381	9606.ENSP00000353508	0	0	0	0	0.096	0	0	0.396	0.430
BCHE	CYP3A4	9606.ENSP00000264381	9606.ENSP00000337915	0	0.002	0	0	0.051	0.060	0	0.418	0.435
BCHE	HTR1A	9606.ENSP00000264381	9606.ENSP00000316244	0	0	0	0	0.062	0	0	0.424	0.437
BCHE	IDE	9606.ENSP00000264381	9606.ENSP00000265986	0	0	0	0	0	0	0	0.446	0.446
BCHE	CHRM1	9606.ENSP00000264381	9606.ENSP00000306490	0	0	0	0	0.066	0	0	0.433	0.448
BCHE	COMT	9606.ENSP00000264381	9606.ENSP00000354511	0	0	0	0	0	0	0	0.460	0.460
BCHE	IL6	9606.ENSP00000264381	9606.ENSP00000385675	0	0	0	0	0	0	0	0.460	0.460
BCHE	SLC6A3	9606.ENSP00000264381	9606.ENSP00000270349	0	0	0	0	0	0	0	0.466	0.466
BCHE	CA1	9606.ENSP00000264381	9606.ENSP00000430656	0	0	0	0	0	0	0	0.468	0.468
BCHE	CYP2D6	9606.ENSP00000264381	9606.ENSP00000353820	0	0	0	0	0.056	0.060	0	0.465	0.483
BCHE	TF	9606.ENSP00000264381	9606.ENSP00000385834	0	0.003	0	0	0.094	0	0	0.453	0.483
BCHE	IGF1	9606.ENSP00000264381	9606.ENSP00000302665	0	0	0	0	0.064	0	0	0.486	0.498
BCHE	INS	9606.ENSP00000264381	9606.ENSP00000380432	0	0	0	0	0	0	0	0.517	0.517
BCHE	BDNF	9606.ENSP00000264381	9606.ENSP00000414303	0	0	0	0	0.052	0	0	0.525	0.531
BCHE	CHRNA7	9606.ENSP00000264381	9606.ENSP00000407546	0	0	0	0	0.062	0	0	0.525	0.536
BCHE	MGAM	9606.ENSP00000264381	9606.ENSP00000447378	0.045	0	0	0	0.053	0	0	0.562	0.569
BCHE	SI	9606.ENSP00000264381	9606.ENSP00000264382	0.045	0	0	0	0.053	0	0	0.562	0.569
BCHE	MAPT	9606.ENSP00000264381	9606.ENSP00000340820	0	0	0	0	0.062	0	0	0.562	0.571
BCHE	SNCA	9606.ENSP00000264381	9606.ENSP00000338345	0	0	0	0	0.098	0	0	0.558	0.584
BCHE	MAOA	9606.ENSP00000264381	9606.ENSP00000340684	0.047	0	0	0	0.062	0	0	0.603	0.614
BCHE	MAOB	9606.ENSP00000264381	9606.ENSP00000367309	0.047	0	0	0	0.087	0	0	0.684	0.701
BCHE	F2	9606.ENSP00000264381	9606.ENSP00000308541	0	0	0	0	0.126	0.056	0	0.681	0.714
BCHE	GPT	9606.ENSP00000264381	9606.ENSP00000378408	0	0	0	0	0.063	0.124	0	0.689	0.722
BCHE	CHAT	9606.ENSP00000264381	9606.ENSP00000337103	0	0	0	0	0.064	0	0	0.786	0.791
BCL2	MAPK1	9606.ENSP00000381185	9606.ENSP00000215832	0	0	0	0	0	0.462	0.900	0.222	0.954
BCL2	PPP2CB	9606.ENSP00000381185	9606.ENSP00000221138	0	0	0	0	0.049	0.062	0.600	0	0.612
BCL2	C5	9606.ENSP00000381185	9606.ENSP00000223642	0	0	0	0	0	0	0.720	0	0.720
BCL2	C8G	9606.ENSP00000381185	9606.ENSP00000224181	0	0	0	0	0	0	0.540	0	0.540
BCL2	PPIF	9606.ENSP00000381185	9606.ENSP00000225174	0	0	0	0	0	0.281	0.720	0.129	0.809
BCL2	CCND1	9606.ENSP00000381185	9606.ENSP00000227507	0	0	0	0	0	0	0	0.443	0.443
BCL2	PRKAB1	9606.ENSP00000381185	9606.ENSP00000229328	0	0	0	0	0	0	0	0.433	0.433
BCL2	CTSD	9606.ENSP00000381185	9606.ENSP00000236671	0	0	0	0	0	0	0.600	0.061	0.608
BCL2	RAF1	9606.ENSP00000381185	9606.ENSP00000251849	0	0	0	0	0	0.865	0	0.162	0.882
BCL2	ITGA2B	9606.ENSP00000381185	9606.ENSP00000262407	0	0	0	0	0	0	0.900	0	0.900
BCL2	MAPK3	9606.ENSP00000381185	9606.ENSP00000263025	0	0	0	0	0	0.213	0.900	0.297	0.939
BCL2	PPAT	9606.ENSP00000381185	9606.ENSP00000264220	0	0	0	0	0	0	0	0.446	0.446
BCL2	VDAC1	9606.ENSP00000381185	9606.ENSP00000265333	0	0	0	0	0	0.282	0.720	0.384	0.865
BCL2	PRKAR2A	9606.ENSP00000381185	9606.ENSP00000265563	0	0	0	0	0.049	0	0.900	0.067	0.903
BCL2	TP53	9606.ENSP00000381185	9606.ENSP00000269305	0	0	0	0	0.051	0.884	0.900	0.628	0.995
BCL2	SOD1	9606.ENSP00000381185	9606.ENSP00000270142	0	0	0	0	0	0.297	0.800	0.150	0.870
BCL2	CTSK	9606.ENSP00000381185	9606.ENSP00000271651	0	0	0	0	0.049	0	0.600	0	0.603
BCL2	PDE9A	9606.ENSP00000381185	9606.ENSP00000291539	0	0	0	0	0	0	0	0.581	0.581
BCL2	BIRC5	9606.ENSP00000381185	9606.ENSP00000301633	0	0	0	0	0	0.063	0	0.394	0.408
BCL2	BCL2L1	9606.ENSP00000381185	9606.ENSP00000302564	0	0	0	0.898	0	0.870	0.900	0.627	0.987
BCL2	IGF1	9606.ENSP00000381185	9606.ENSP00000302665	0	0	0	0	0	0	0	0.413	0.413
BCL2	CYCS	9606.ENSP00000381185	9606.ENSP00000307786	0	0	0	0	0	0.225	0.900	0.619	0.967
BCL2	CTSF	9606.ENSP00000381185	9606.ENSP00000310832	0	0	0	0	0.062	0	0.600	0.043	0.609
BCL2	CASP3	9606.ENSP00000381185	9606.ENSP00000311032	0	0	0	0	0	0.539	0	0.622	0.818
BCL2	HSP90AA1	9606.ENSP00000381185	9606.ENSP00000335153	0	0	0	0	0	0.486	0	0.161	0.550
BCL2	CTSL	9606.ENSP00000381185	9606.ENSP00000345344	0	0	0	0	0.049	0	0.600	0	0.603
BCL2	CTSB	9606.ENSP00000381185	9606.ENSP00000345672	0	0	0	0	0.049	0	0.600	0.121	0.636
BCL2	CASP8	9606.ENSP00000381185	9606.ENSP00000351273	0	0	0	0	0	0.726	0	0.432	0.838
BCL2	MAPK10	9606.ENSP00000381185	9606.ENSP00000352157	0	0	0	0	0	0.056	0.800	0.083	0.811
BCL2	RXRG	9606.ENSP00000381185	9606.ENSP00000352900	0	0	0	0	0	0.057	0.900	0	0.901
BCL2	PARP1	9606.ENSP00000381185	9606.ENSP00000355759	0	0	0	0	0	0.270	0	0.268	0.443
BCL2	CTSS	9606.ENSP00000381185	9606.ENSP00000357981	0	0	0	0	0.049	0	0.600	0	0.603
BCL2	VDAC2	9606.ENSP00000381185	9606.ENSP00000361635	0	0	0	0	0	0.078	0.540	0.234	0.647
BCL2	IL2RG	9606.ENSP00000381185	9606.ENSP00000363318	0	0	0	0	0.107	0	0.900	0.056	0.908
BCL2	RXRB	9606.ENSP00000381185	9606.ENSP00000363817	0	0	0	0	0.062	0.057	0.900	0	0.903
BCL2	PRNP	9606.ENSP00000381185	9606.ENSP00000368752	0	0	0	0	0	0.113	0.900	0.060	0.909
BCL2	PRKAR1A	9606.ENSP00000381185	9606.ENSP00000376475	0	0	0	0	0.049	0	0.900	0.065	0.903
BCL2	VDAC3	9606.ENSP00000381185	9606.ENSP00000428845	0	0	0	0	0	0.078	0.540	0.213	0.637
BCL2	HIF1A	9606.ENSP00000381185	9606.ENSP00000437955	0	0	0	0	0	0.538	0	0.324	0.674
BCL2	PPP2CA	9606.ENSP00000381185	9606.ENSP00000418447	0	0	0	0	0.049	0.497	0.600	0.052	0.794
BCL2	JAK3	9606.ENSP00000381185	9606.ENSP00000391676	0	0	0	0	0	0	0.900	0.046	0.900
BCL2	RXRA	9606.ENSP00000381185	9606.ENSP00000419692	0	0	0	0	0	0.057	0.900	0	0.901
BCL2	CREB1	9606.ENSP00000381185	9606.ENSP00000387699	0	0	0	0	0	0	0.900	0.167	0.913
BCL2	ESR1	9606.ENSP00000381185	9606.ENSP00000405330	0	0	0	0	0.069	0.057	0.900	0.244	0.924
BCL2L1	CD4	9606.ENSP00000302564	9606.ENSP00000011653	0	0	0	0	0.052	0	0	0.625	0.629
BCL2L1	TNFRSF1A	9606.ENSP00000302564	9606.ENSP00000162749	0	0	0	0	0	0	0	0.651	0.651
BCL2L1	SIRT1	9606.ENSP00000302564	9606.ENSP00000212015	0	0	0	0	0.053	0	0	0.517	0.523
BCL2L1	MAPK1	9606.ENSP00000302564	9606.ENSP00000215832	0	0	0	0	0.048	0	0.900	0.460	0.944
BCL2L1	HMOX1	9606.ENSP00000302564	9606.ENSP00000216117	0	0	0	0	0	0	0	0.566	0.566
BCL2L1	NFKBIA	9606.ENSP00000302564	9606.ENSP00000216797	0	0	0	0	0.062	0.056	0	0.686	0.698
BCL2L1	MMP2	9606.ENSP00000302564	9606.ENSP00000219070	0	0	0	0	0	0	0	0.556	0.556
BCL2L1	EPOR	9606.ENSP00000302564	9606.ENSP00000222139	0	0	0	0	0	0	0	0.521	0.521
BCL2L1	HGF	9606.ENSP00000302564	9606.ENSP00000222390	0	0	0	0	0	0	0	0.465	0.465
BCL2L1	GCK	9606.ENSP00000302564	9606.ENSP00000223366	0	0	0	0	0	0	0	0.723	0.723
BCL2L1	PPIF	9606.ENSP00000302564	9606.ENSP00000225174	0	0	0	0	0	0.115	0	0.529	0.565
BCL2L1	CCL2	9606.ENSP00000302564	9606.ENSP00000225831	0	0	0	0	0	0	0	0.457	0.457
BCL2L1	NFKB1	9606.ENSP00000302564	9606.ENSP00000226574	0	0	0	0	0	0.056	0	0.449	0.457
BCL2L1	IL2	9606.ENSP00000302564	9606.ENSP00000226730	0	0	0	0	0	0	0	0.621	0.621
BCL2L1	CCND1	9606.ENSP00000302564	9606.ENSP00000227507	0	0	0	0	0	0	0	0.848	0.848
BCL2L1	IFNG	9606.ENSP00000302564	9606.ENSP00000229135	0	0	0	0	0.052	0	0	0.484	0.490
BCL2L1	GAPDH	9606.ENSP00000302564	9606.ENSP00000229239	0	0	0	0	0	0.115	0	0.709	0.732
BCL2L1	MAPK14	9606.ENSP00000302564	9606.ENSP00000229795	0	0	0	0	0	0.270	0	0.598	0.694
BCL2L1	NR3C1	9606.ENSP00000302564	9606.ENSP00000231509	0	0	0	0	0	0.149	0	0.341	0.415
BCL2L1	CTSD	9606.ENSP00000302564	9606.ENSP00000236671	0	0	0	0	0.076	0	0.600	0.325	0.728
BCL2L1	CAT	9606.ENSP00000302564	9606.ENSP00000241052	0	0	0	0	0	0	0	0.564	0.564
BCL2L1	FLT3	9606.ENSP00000302564	9606.ENSP00000241453	0	0	0	0	0	0	0	0.491	0.491
BCL2L1	CANX	9606.ENSP00000302564	9606.ENSP00000247461	0	0	0	0	0.046	0.164	0	0.486	0.555
BCL2L1	HSPB1	9606.ENSP00000302564	9606.ENSP00000248553	0	0	0	0	0.062	0.099	0	0.493	0.534
BCL2L1	BCL2L2	9606.ENSP00000302564	9606.ENSP00000250405	0	0	0	0.911	0.065	0.105	0.540	0.871	0.613
BCL2L1	RAF1	9606.ENSP00000302564	9606.ENSP00000251849	0	0	0	0	0	0.676	0	0.501	0.831
BCL2L1	CDK4	9606.ENSP00000302564	9606.ENSP00000257904	0	0	0	0	0	0.056	0	0.659	0.665
BCL2L1	MDM2	9606.ENSP00000302564	9606.ENSP00000258149	0	0	0	0	0.054	0.176	0	0.712	0.756
BCL2L1	MAPK3	9606.ENSP00000302564	9606.ENSP00000263025	0	0	0	0	0.065	0	0.900	0.681	0.967
BCL2L1	IL1B	9606.ENSP00000302564	9606.ENSP00000263341	0	0	0	0	0.049	0	0	0.601	0.604
BCL2L1	KDR	9606.ENSP00000302564	9606.ENSP00000263923	0	0	0	0	0	0	0	0.456	0.456
BCL2L1	PIK3CA	9606.ENSP00000302564	9606.ENSP00000263967	0	0	0	0	0	0.058	0	0.457	0.466
BCL2L1	CD80	9606.ENSP00000302564	9606.ENSP00000264246	0	0	0	0	0.062	0	0	0.458	0.469
BCL2L1	FGF2	9606.ENSP00000302564	9606.ENSP00000264498	0	0	0	0	0.053	0	0	0.504	0.510
BCL2L1	ICAM1	9606.ENSP00000302564	9606.ENSP00000264832	0	0	0	0	0	0	0	0.504	0.504
BCL2L1	EGF	9606.ENSP00000302564	9606.ENSP00000265171	0	0	0	0	0	0	0	0.754	0.754
BCL2L1	VDAC1	9606.ENSP00000302564	9606.ENSP00000265333	0	0	0	0	0	0.757	0	0.989	0.997
BCL2L1	PRKAR2A	9606.ENSP00000302564	9606.ENSP00000265563	0	0	0	0	0.049	0	0.900	0.125	0.909
BCL2L1	CDK6	9606.ENSP00000302564	9606.ENSP00000265734	0	0	0	0	0	0.056	0	0.592	0.598
BCL2L1	RB1	9606.ENSP00000302564	9606.ENSP00000267163	0	0	0	0	0.062	0	0	0.420	0.433
BCL2L1	IGF1R	9606.ENSP00000302564	9606.ENSP00000268035	0	0	0	0	0	0	0	0.544	0.544
BCL2L1	TP53	9606.ENSP00000302564	9606.ENSP00000269305	0	0	0	0	0.051	0.977	0.900	0.990	0.999
BCL2L1	ERBB2	9606.ENSP00000302564	9606.ENSP00000269571	0	0	0	0	0	0	0	0.683	0.683
BCL2L1	CTSK	9606.ENSP00000302564	9606.ENSP00000271651	0	0	0	0	0.049	0	0.600	0.134	0.641
BCL2L1	EGFR	9606.ENSP00000302564	9606.ENSP00000275493	0	0	0	0	0	0	0	0.686	0.686
BCL2L1	TNFRSF10B	9606.ENSP00000302564	9606.ENSP00000276431	0	0	0	0	0	0	0	0.741	0.741
BCL2L1	PPARG	9606.ENSP00000302564	9606.ENSP00000287820	0	0	0	0	0	0.057	0	0.456	0.465
BCL2L1	KIT	9606.ENSP00000302564	9606.ENSP00000288135	0	0	0	0	0	0	0	0.511	0.511
BCL2L1	STAT5B	9606.ENSP00000302564	9606.ENSP00000293328	0	0	0	0	0	0.069	0.900	0.688	0.968
BCL2L1	IL15	9606.ENSP00000302564	9606.ENSP00000296545	0	0	0	0	0.065	0	0	0.475	0.488
BCL2L1	IL3	9606.ENSP00000302564	9606.ENSP00000296870	0	0	0	0	0	0	0	0.556	0.556
BCL2L1	CSF2	9606.ENSP00000302564	9606.ENSP00000296871	0	0	0	0	0	0	0	0.510	0.510
BCL2L1	NOS3	9606.ENSP00000302564	9606.ENSP00000297494	0	0	0	0	0	0	0	0.408	0.408
BCL2L1	BIRC5	9606.ENSP00000302564	9606.ENSP00000301633	0	0	0	0	0	0.063	0	0.537	0.547
BCL2L1	MAP2K1	9606.ENSP00000302564	9606.ENSP00000302486	0	0	0	0	0.049	0	0	0.559	0.562
BCL2L1	NTRK1	9606.ENSP00000302564	9606.ENSP00000431418	0	0	0	0	0	0	0	0.401	0.400
BCL2L1	SDHC	9606.ENSP00000302564	9606.ENSP00000356953	0	0	0	0	0.111	0	0	0.358	0.405
BCL2L1	TERT	9606.ENSP00000302564	9606.ENSP00000309572	0	0	0	0	0	0	0	0.413	0.412
BCL2L1	HSP90AB1	9606.ENSP00000302564	9606.ENSP00000360609	0	0	0	0	0	0	0	0.418	0.418
BCL2L1	GRB2	9606.ENSP00000302564	9606.ENSP00000376345	0	0	0	0	0	0	0	0.427	0.427
BCL2L1	MAPKAPK2	9606.ENSP00000302564	9606.ENSP00000356070	0	0	0	0	0.066	0.270	0	0.232	0.430
BCL2L1	CAPN1	9606.ENSP00000302564	9606.ENSP00000431984	0	0	0	0	0.070	0.213	0	0.284	0.430
BCL2L1	LTA	9606.ENSP00000302564	9606.ENSP00000403495	0	0	0	0	0	0.059	0	0.426	0.436
BCL2L1	SYK	9606.ENSP00000302564	9606.ENSP00000364907	0	0	0	0	0	0	0	0.451	0.451
BCL2L1	PGR	9606.ENSP00000302564	9606.ENSP00000325120	0	0	0	0	0	0.182	0	0.358	0.452
BCL2L1	JAK3	9606.ENSP00000302564	9606.ENSP00000391676	0	0	0	0	0	0	0	0.453	0.453
BCL2L1	PDPK1	9606.ENSP00000302564	9606.ENSP00000344220	0	0	0	0	0	0.270	0	0.284	0.454
BCL2L1	CXCL12	9606.ENSP00000302564	9606.ENSP00000379140	0	0	0	0	0	0	0	0.455	0.455
BCL2L1	DAPK1	9606.ENSP00000302564	9606.ENSP00000386135	0	0	0	0	0.056	0	0	0.450	0.458
BCL2L1	CD86	9606.ENSP00000302564	9606.ENSP00000332049	0	0	0	0	0.049	0	0	0.454	0.458
BCL2L1	LCK	9606.ENSP00000302564	9606.ENSP00000337825	0	0	0	0	0	0	0	0.460	0.459
BCL2L1	TOP1	9606.ENSP00000302564	9606.ENSP00000354522	0	0	0	0	0	0.105	0	0.421	0.459
BCL2L1	BDNF	9606.ENSP00000302564	9606.ENSP00000414303	0	0	0	0	0	0	0	0.460	0.459
BCL2L1	CDK5	9606.ENSP00000302564	9606.ENSP00000419782	0	0	0	0	0	0	0	0.465	0.465
BCL2L1	MET	9606.ENSP00000302564	9606.ENSP00000317272	0	0	0	0	0	0	0	0.468	0.468
BCL2L1	CD274	9606.ENSP00000302564	9606.ENSP00000370989	0	0	0	0	0.062	0	0	0.457	0.469
BCL2L1	TLR4	9606.ENSP00000302564	9606.ENSP00000363089	0	0	0	0	0.062	0	0	0.459	0.470
BCL2L1	FN1	9606.ENSP00000302564	9606.ENSP00000346839	0	0	0	0	0	0	0	0.470	0.470
BCL2L1	CD19	9606.ENSP00000302564	9606.ENSP00000437940	0	0	0	0	0	0	0	0.470	0.470
BCL2L1	TNFSF13B	9606.ENSP00000302564	9606.ENSP00000365048	0	0	0	0	0.052	0	0	0.465	0.471
BCL2L1	TSPO	9606.ENSP00000302564	9606.ENSP00000379563	0	0	0	0	0.102	0	0	0.439	0.474
BCL2L1	CHEK2	9606.ENSP00000302564	9606.ENSP00000372023	0	0	0	0	0.054	0	0	0.468	0.475
BCL2L1	PTK2	9606.ENSP00000302564	9606.ENSP00000341189	0	0	0	0	0	0.141	0	0.416	0.476
BCL2L1	BTK	9606.ENSP00000302564	9606.ENSP00000483570	0	0	0	0	0	0	0	0.495	0.495
BCL2L1	PRKCD	9606.ENSP00000302564	9606.ENSP00000378217	0	0	0	0	0	0	0	0.499	0.499
BCL2L1	PRKDC	9606.ENSP00000302564	9606.ENSP00000313420	0	0	0	0	0	0.123	0	0.455	0.502
BCL2L1	CXCR4	9606.ENSP00000302564	9606.ENSP00000386884	0	0	0	0	0	0	0	0.503	0.503
BCL2L1	EIF4E	9606.ENSP00000302564	9606.ENSP00000425561	0	0	0	0	0	0	0	0.503	0.503
BCL2L1	IKBKG	9606.ENSP00000302564	9606.ENSP00000483825	0	0	0	0	0.069	0	0	0.504	0.518
BCL2L1	CREB1	9606.ENSP00000302564	9606.ENSP00000387699	0	0	0	0	0	0	0	0.523	0.523
BCL2L1	FOS	9606.ENSP00000302564	9606.ENSP00000306245	0	0	0	0	0.062	0	0	0.545	0.554
BCL2L1	HSPA5	9606.ENSP00000302564	9606.ENSP00000324173	0	0	0	0	0	0	0	0.562	0.562
BCL2L1	ESR1	9606.ENSP00000302564	9606.ENSP00000405330	0	0	0	0	0	0.057	0	0.559	0.566
BCL2L1	IGF1	9606.ENSP00000302564	9606.ENSP00000302665	0	0	0	0	0	0	0	0.566	0.566
BCL2L1	IL10	9606.ENSP00000302564	9606.ENSP00000412237	0	0	0	0	0	0	0	0.568	0.568
BCL2L1	CD44	9606.ENSP00000302564	9606.ENSP00000398632	0	0	0	0	0	0	0	0.568	0.568
BCL2L1	INS	9606.ENSP00000302564	9606.ENSP00000380432	0	0	0	0	0	0	0	0.575	0.575
BCL2L1	HDAC1	9606.ENSP00000302564	9606.ENSP00000362649	0	0	0	0	0	0	0	0.582	0.582
BCL2L1	CTLA4	9606.ENSP00000302564	9606.ENSP00000303939	0	0	0	0	0	0	0	0.595	0.595
BCL2L1	NFKB2	9606.ENSP00000302564	9606.ENSP00000358983	0	0	0	0	0	0.056	0	0.592	0.598
BCL2L1	HSP90AA1	9606.ENSP00000302564	9606.ENSP00000335153	0	0	0	0	0	0	0	0.601	0.601
BCL2L1	IKBKB	9606.ENSP00000302564	9606.ENSP00000430684	0	0	0	0	0	0	0	0.602	0.602
BCL2L1	PTGS2	9606.ENSP00000302564	9606.ENSP00000356438	0	0	0	0	0	0	0	0.602	0.602
BCL2L1	CTSF	9606.ENSP00000302564	9606.ENSP00000310832	0	0	0	0	0.049	0	0.600	0.055	0.609
